experiment_id,task_id,seed,condition,success,final_reward,db_reward,communicate_reward,nl_assertion_reward,result_path
exp5_5c_saturation_precheck,2,601,failure_mode_only_card,0,0.0000,1.0000,,0.0000,/home/depa/showcases/third_party/tau2-bench/data/simulations/exp5_5c_saturation_precheck/task_2/condition_failure_mode_only_card/seed_601/results.json
exp5_5c_saturation_precheck,2,602,failure_mode_only_card,0,0.0000,1.0000,,0.0000,/home/depa/showcases/third_party/tau2-bench/data/simulations/exp5_5c_saturation_precheck/task_2/condition_failure_mode_only_card/seed_602/results.json
exp5_5c_saturation_precheck,2,603,failure_mode_only_card,0,0.0000,0.0000,,0.0000,/home/depa/showcases/third_party/tau2-bench/data/simulations/exp5_5c_saturation_precheck/task_2/condition_failure_mode_only_card/seed_603/results.json
exp5_5c_saturation_precheck,2,601,generic_policy_card,0,0.0000,1.0000,,0.0000,/home/depa/showcases/third_party/tau2-bench/data/simulations/exp5_5c_saturation_precheck/task_2/condition_generic_policy_card/seed_601/results.json
exp5_5c_saturation_precheck,2,602,generic_policy_card,0,0.0000,1.0000,,0.0000,/home/depa/showcases/third_party/tau2-bench/data/simulations/exp5_5c_saturation_precheck/task_2/condition_generic_policy_card/seed_602/results.json
exp5_5c_saturation_precheck,2,603,generic_policy_card,0,0.0000,0.0000,,0.0000,/home/depa/showcases/third_party/tau2-bench/data/simulations/exp5_5c_saturation_precheck/task_2/condition_generic_policy_card/seed_603/results.json
exp5_5c_saturation_precheck,2,601,no_memory,0,0.0000,1.0000,,0.0000,/home/depa/showcases/third_party/tau2-bench/data/simulations/exp5_5c_saturation_precheck/task_2/condition_no_memory/seed_601/results.json
exp5_5c_saturation_precheck,2,602,no_memory,0,0.0000,0.0000,,0.0000,/home/depa/showcases/third_party/tau2-bench/data/simulations/exp5_5c_saturation_precheck/task_2/condition_no_memory/seed_602/results.json
exp5_5c_saturation_precheck,2,603,no_memory,0,0.0000,1.0000,,0.0000,/home/depa/showcases/third_party/tau2-bench/data/simulations/exp5_5c_saturation_precheck/task_2/condition_no_memory/seed_603/results.json
exp5_5c_saturation_precheck,2,601,oracle_single_missing_check_card_v1,0,0.0000,1.0000,,0.0000,/home/depa/showcases/third_party/tau2-bench/data/simulations/exp5_5c_saturation_precheck/task_2/condition_oracle_single_missing_check_card_v1/seed_601/results.json
exp5_5c_saturation_precheck,2,602,oracle_single_missing_check_card_v1,0,0.0000,1.0000,,0.0000,/home/depa/showcases/third_party/tau2-bench/data/simulations/exp5_5c_saturation_precheck/task_2/condition_oracle_single_missing_check_card_v1/seed_602/results.json
exp5_5c_saturation_precheck,2,603,oracle_single_missing_check_card_v1,0,0.0000,0.0000,,0.0000,/home/depa/showcases/third_party/tau2-bench/data/simulations/exp5_5c_saturation_precheck/task_2/condition_oracle_single_missing_check_card_v1/seed_603/results.json
exp5_5c_saturation_precheck,3,601,failure_mode_only_card,0,0.0000,1.0000,,0.0000,/home/depa/showcases/third_party/tau2-bench/data/simulations/exp5_5c_saturation_precheck/task_3/condition_failure_mode_only_card/seed_601/results.json
exp5_5c_saturation_precheck,3,602,failure_mode_only_card,0,0.0000,1.0000,,0.0000,/home/depa/showcases/third_party/tau2-bench/data/simulations/exp5_5c_saturation_precheck/task_3/condition_failure_mode_only_card/seed_602/results.json
exp5_5c_saturation_precheck,3,603,failure_mode_only_card,0,0.0000,1.0000,,0.0000,/home/depa/showcases/third_party/tau2-bench/data/simulations/exp5_5c_saturation_precheck/task_3/condition_failure_mode_only_card/seed_603/results.json
exp5_5c_saturation_precheck,3,601,generic_policy_card,0,0.0000,1.0000,,0.0000,/home/depa/showcases/third_party/tau2-bench/data/simulations/exp5_5c_saturation_precheck/task_3/condition_generic_policy_card/seed_601/results.json
exp5_5c_saturation_precheck,3,602,generic_policy_card,0,0.0000,1.0000,,0.0000,/home/depa/showcases/third_party/tau2-bench/data/simulations/exp5_5c_saturation_precheck/task_3/condition_generic_policy_card/seed_602/results.json
exp5_5c_saturation_precheck,3,603,generic_policy_card,0,0.0000,1.0000,,0.0000,/home/depa/showcases/third_party/tau2-bench/data/simulations/exp5_5c_saturation_precheck/task_3/condition_generic_policy_card/seed_603/results.json
exp5_5c_saturation_precheck,3,601,no_memory,0,0.0000,1.0000,,0.0000,/home/depa/showcases/third_party/tau2-bench/data/simulations/exp5_5c_saturation_precheck/task_3/condition_no_memory/seed_601/results.json
